Date,Maharashtra
1/2/2019 0:00,428.6
1/3/2019 0:00,419.6
1/4/2019 0:00,395.8
1/5/2019 0:00,411.1
1/6/2019 0:00,408.6
1/7/2019 0:00,408.1
1/8/2019 0:00,398.2
1/9/2019 0:00,400.9
1/10/2019 0:00,409.7
1/11/2019 0:00,405.2
1/12/2019 0:00,421.8
1/13/2019 0:00,408.3
1/14/2019 0:00,406.3
1/15/2019 0:00,392.1
1/16/2019 0:00,377.1
1/17/2019 0:00,368.4
1/18/2019 0:00,360.8
1/19/2019 0:00,371.2
1/20/2019 0:00,362.4
1/21/2019 0:00,356.6
1/22/2019 0:00,330.8
1/23/2019 0:00,499.4
1/24/2019 0:00,508.9
1/25/2019 0:00,456
1/26/2019 0:00,485.9
1/27/2019 0:00,485.2
1/28/2019 0:00,485.1
1/29/2019 0:00,475.9
1/30/2019 0:00,348.4
1/31/2019 0:00,345.2
2/2/2019 0:00,344.3
2/3/2019 0:00,353.3
2/4/2019 0:00,369.8
2/5/2019 0:00,376
2/6/2019 0:00,378
2/7/2019 0:00,305.6
2/8/2019 0:00,320.1
2/9/2019 0:00,350.4
2/10/2019 0:00,360.6
2/11/2019 0:00,362.2
2/12/2019 0:00,360.6
2/13/2019 0:00,357.5
2/14/2019 0:00,394.1
2/15/2019 0:00,399.5
2/16/2019 0:00,405.3
2/17/2019 0:00,403.4
2/18/2019 0:00,399.3
2/19/2019 0:00,403.5
2/20/2019 0:00,392.4
2/21/2019 0:00,509.5
2/22/2019 0:00,516.4
2/23/2019 0:00,515.8
2/24/2019 0:00,509.6
2/25/2019 0:00,505.9
2/26/2019 0:00,500.6
2/27/2019 0:00,489.6
2/28/2019 0:00,454.7
3/2/2019 0:00,467
3/3/2019 0:00,461.9
3/4/2019 0:00,454.7
3/5/2019 0:00,448.3
3/6/2019 0:00,443.4
3/7/2019 0:00,435.6
3/8/2019 0:00,423.5
3/9/2019 0:00,429
3/10/2019 0:00,439.3
3/11/2019 0:00,449.4
3/12/2019 0:00,431.4
3/13/2019 0:00,402.8
3/14/2019 0:00,374.7
3/15/2019 0:00,404.6
3/16/2019 0:00,405.7
3/17/2019 0:00,408.1
3/18/2019 0:00,408.8
3/19/2019 0:00,405.1
3/20/2019 0:00,400.2
3/21/2019 0:00,409.9
3/22/2019 0:00,438
3/23/2019 0:00,442.3
3/24/2019 0:00,441
3/25/2019 0:00,443.7
3/26/2019 0:00,443.7
3/27/2019 0:00,445
3/28/2019 0:00,424.4
3/29/2019 0:00,471.3
3/30/2019 0:00,484
3/31/2019 0:00,489.6
4/2/2019 0:00,487.7
4/3/2019 0:00,483.3
4/4/2019 0:00,484
4/5/2019 0:00,462
4/6/2019 0:00,439.4
4/7/2019 0:00,433.9
4/8/2019 0:00,432.9
4/9/2019 0:00,432.9
4/10/2019 0:00,420.9
4/11/2019 0:00,431.1
4/12/2019 0:00,419.7
4/13/2019 0:00,436.2
4/14/2019 0:00,451
4/15/2019 0:00,458.8
4/16/2019 0:00,448.7
4/17/2019 0:00,407.6
4/18/2019 0:00,388.5
4/19/2019 0:00,371.1
4/20/2019 0:00,495.9
4/21/2019 0:00,494.2
4/22/2019 0:00,491.4
4/23/2019 0:00,493.4
4/24/2019 0:00,492.9
4/25/2019 0:00,484.8
4/26/2019 0:00,456.8
4/27/2019 0:00,447.6
4/28/2019 0:00,456.7
4/29/2019 0:00,447.8
4/30/2019 0:00,427.8
5/2/2019 0:00,428.5
5/3/2019 0:00,425.5
5/4/2019 0:00,415.3
5/5/2019 0:00,409.6
5/6/2019 0:00,403
5/7/2019 0:00,391.5
5/8/2019 0:00,385.4
5/9/2019 0:00,379.7
5/10/2019 0:00,385.6
5/11/2019 0:00,380.7
5/12/2019 0:00,441.2
5/13/2019 0:00,451.4
5/14/2019 0:00,446
5/15/2019 0:00,423.8
5/16/2019 0:00,400.5
5/17/2019 0:00,374
5/18/2019 0:00,364.8
5/19/2019 0:00,495
5/20/2019 0:00,494.5
5/21/2019 0:00,500.6
5/22/2019 0:00,513.1
5/23/2019 0:00,511.8
5/24/2019 0:00,513.3
5/25/2019 0:00,504.1
5/26/2019 0:00,395.6
5/27/2019 0:00,403.6
5/28/2019 0:00,394.4
5/29/2019 0:00,357.9
5/30/2019 0:00,328
5/31/2019 0:00,348.2
6/2/2019 0:00,351
6/3/2019 0:00,357.7
6/4/2019 0:00,383.7
6/5/2019 0:00,387.9
6/6/2019 0:00,383.7
6/7/2019 0:00,363.2
6/8/2019 0:00,347.4
6/9/2019 0:00,313.9
6/10/2019 0:00,412.4
6/11/2019 0:00,417.1
6/12/2019 0:00,417.4
6/13/2019 0:00,413.3
6/14/2019 0:00,397.6
6/15/2019 0:00,351.6
6/16/2019 0:00,361.6
6/17/2019 0:00,507
6/18/2019 0:00,513.6
6/19/2019 0:00,513.9
6/20/2019 0:00,522.1
6/21/2019 0:00,505.3
6/22/2019 0:00,503.3
6/23/2019 0:00,487.5
6/24/2019 0:00,445.9
6/25/2019 0:00,457.6
6/26/2019 0:00,460.2
6/27/2019 0:00,464.3
6/28/2019 0:00,466
6/29/2019 0:00,464.7
6/30/2019 0:00,424.1
7/1/2019 0:00,424.5
7/2/2019 0:00,433.7
7/3/2019 0:00,431.6
7/4/2019 0:00,426.7
7/5/2019 0:00,426.8
7/6/2019 0:00,424
7/7/2019 0:00,414.1
7/8/2019 0:00,380.5
7/8/2019 0:00,388.6
7/9/2019 0:00,399.1
7/9/2019 0:00,405.7
7/10/2019 0:00,410.2
7/10/2019 0:00,412.7
7/11/2019 0:00,404.4
7/11/2019 0:00,421.9
7/12/2019 0:00,429.8
7/12/2019 0:00,431.3
7/13/2019 0:00,433.4
7/14/2019 0:00,429.8
7/15/2019 0:00,431
7/16/2019 0:00,417.1
7/17/2019 0:00,457.5
7/18/2019 0:00,466.3
7/19/2019 0:00,462.2
7/20/2019 0:00,406.8
7/21/2019 0:00,439.2
7/22/2019 0:00,460.8
7/23/2019 0:00,452
7/24/2019 0:00,419.4
7/25/2019 0:00,425.1
7/26/2019 0:00,436.2
7/27/2019 0:00,442.4
7/28/2019 0:00,443.5
7/29/2019 0:00,441.3
7/30/2019 0:00,424.4
7/31/2019 0:00,473.9
8/1/2019 0:00,476.8
8/2/2019 0:00,473.8
8/3/2019 0:00,479.4
8/4/2019 0:00,474.3
8/5/2019 0:00,463.8
8/6/2019 0:00,429.1
8/8/2019 0:00,404.9
8/9/2019 0:00,418.3
8/10/2019 0:00,420.9
8/11/2019 0:00,426.2
8/12/2019 0:00,434.5
8/13/2019 0:00,442.1
8/14/2019 0:00,443.5
8/15/2019 0:00,484.7
8/16/2019 0:00,493.9
8/17/2019 0:00,497.9
8/18/2019 0:00,499.8
8/19/2019 0:00,491.7
8/20/2019 0:00,489.1
8/21/2019 0:00,477.6
8/22/2019 0:00,434.9
8/23/2019 0:00,445.4
8/24/2019 0:00,444.6
8/25/2019 0:00,444.1
8/26/2019 0:00,443.7
8/27/2019 0:00,443.6
8/28/2019 0:00,431
8/29/2019 0:00,407.9
8/30/2019 0:00,412.2
8/31/2019 0:00,399.2
9/1/2019 0:00,386.2
9/2/2019 0:00,383.2
9/3/2019 0:00,389.6
9/4/2019 0:00,386.6
9/5/2019 0:00,490.5
9/6/2019 0:00,499.3
9/8/2019 0:00,479.6
9/9/2019 0:00,479
9/10/2019 0:00,478.2
9/11/2019 0:00,468.2
9/12/2019 0:00,432
9/13/2019 0:00,444.6
9/14/2019 0:00,457.9
9/15/2019 0:00,460
9/16/2019 0:00,449.2
9/17/2019 0:00,430.9
9/18/2019 0:00,405.6
9/19/2019 0:00,483.8
9/20/2019 0:00,478.3
9/21/2019 0:00,470.4
9/22/2019 0:00,482.3
9/23/2019 0:00,477.8
9/24/2019 0:00,487.4
9/25/2019 0:00,468.5
9/26/2019 0:00,438.4
9/27/2019 0:00,446.6
9/28/2019 0:00,452.7
9/29/2019 0:00,458.8
9/30/2019 0:00,441.8
10/1/2019 0:00,400
10/2/2019 0:00,368.4
10/3/2019 0:00,414.6
10/4/2019 0:00,418.4
10/5/2019 0:00,421.8
10/6/2019 0:00,421
10/8/2019 0:00,413.7
10/9/2019 0:00,413.1
10/10/2019 0:00,403.2
10/11/2019 0:00,499.8
10/12/2019 0:00,500.6
10/13/2019 0:00,497.9
10/14/2019 0:00,495.2
10/15/2019 0:00,495.1
10/16/2019 0:00,496.7
10/17/2019 0:00,481.3
10/18/2019 0:00,445.4
10/19/2019 0:00,452.7
10/20/2019 0:00,441.2
10/21/2019 0:00,438.8
10/22/2019 0:00,431.4
10/23/2019 0:00,431.8
10/24/2019 0:00,426.8
10/25/2019 0:00,379
10/26/2019 0:00,396.2
10/27/2019 0:00,399.4
10/28/2019 0:00,344.5
10/29/2019 0:00,378.1
10/30/2019 0:00,399.9
10/31/2019 0:00,399.2
11/1/2019 0:00,392.2
11/2/2019 0:00,391.7
11/3/2019 0:00,392.2
11/4/2019 0:00,395
11/5/2019 0:00,402.2
11/6/2019 0:00,401.9
11/8/2019 0:00,400.2
11/9/2019 0:00,402.5
11/10/2019 0:00,408.4
11/11/2019 0:00,414.3
11/12/2019 0:00,409.9
11/13/2019 0:00,410.3
11/14/2019 0:00,416.2
11/15/2019 0:00,406.7
11/16/2019 0:00,449.1
11/17/2019 0:00,463.7
11/18/2019 0:00,459.1
11/19/2019 0:00,452.8
11/20/2019 0:00,448.9
11/21/2019 0:00,451.2
11/22/2019 0:00,439
11/23/2019 0:00,403.7
11/24/2019 0:00,420.1
11/25/2019 0:00,428
11/26/2019 0:00,431
11/27/2019 0:00,418.4
11/28/2019 0:00,413
11/29/2019 0:00,404
11/30/2019 0:00,459.6
12/1/2019 0:00,471.4
12/2/2019 0:00,463.4
12/3/2019 0:00,457.8
12/4/2019 0:00,460.8
12/5/2019 0:00,464
12/6/2019 0:00,455.8
12/8/2019 0:00,407.7
12/9/2019 0:00,392.5
12/10/2019 0:00,425.7
12/11/2019 0:00,421.3
12/12/2019 0:00,411.2
12/13/2019 0:00,405.5
12/14/2019 0:00,405.1
12/15/2019 0:00,457.1
12/16/2019 0:00,471.1
12/17/2019 0:00,476.8
12/18/2019 0:00,475.8
12/19/2019 0:00,474.7
12/20/2019 0:00,474.5
12/21/2019 0:00,461.2
12/22/2019 0:00,442.9
12/23/2019 0:00,454
12/24/2019 0:00,455.5
12/25/2019 0:00,451.3
12/26/2019 0:00,438.7
12/27/2019 0:00,435.7
12/28/2019 0:00,422.9
12/29/2019 0:00,395.1
12/30/2019 0:00,395.6
12/31/2019 0:00,400.3
1/1/2020 0:00,377.8
1/2/2020 0:00,383.5
1/3/2020 0:00,390.7
1/4/2020 0:00,382.4
1/5/2020 0:00,487.6
1/13/2020 0:00,430.1
1/14/2020 0:00,465.5
1/15/2020 0:00,482.4
1/16/2020 0:00,482.7
1/17/2020 0:00,476.3
1/18/2020 0:00,466.7
1/19/2020 0:00,392.3
1/20/2020 0:00,402.8
1/21/2020 0:00,403.7
1/22/2020 0:00,403.8
1/23/2020 0:00,407.6
1/24/2020 0:00,415
1/25/2020 0:00,404.8
1/26/2020 0:00,497.4
1/27/2020 0:00,499.9
1/28/2020 0:00,500.8
1/29/2020 0:00,502.7
1/30/2020 0:00,501.4
1/31/2020 0:00,489.9
2/1/2020 0:00,468.4
2/2/2020 0:00,408.9
2/3/2020 0:00,371.3
2/4/2020 0:00,401.5
2/5/2020 0:00,418.3
2/13/2020 0:00,414.9
2/14/2020 0:00,420.2
2/15/2020 0:00,413.6
2/16/2020 0:00,409
2/17/2020 0:00,415.4
2/18/2020 0:00,415.3
2/19/2020 0:00,414.9
2/20/2020 0:00,410.9
2/21/2020 0:00,412.5
2/22/2020 0:00,401.3
2/23/2020 0:00,497.2
2/24/2020 0:00,504.1
2/25/2020 0:00,501.8
2/26/2020 0:00,496.2
2/27/2020 0:00,492.4
2/28/2020 0:00,491.6
2/29/2020 0:00,479.3
3/1/2020 0:00,422.9
3/2/2020 0:00,437.2
3/3/2020 0:00,436.9
3/4/2020 0:00,428.4
3/5/2020 0:00,427
3/13/2020 0:00,434.1
3/14/2020 0:00,425.1
3/15/2020 0:00,386.3
3/16/2020 0:00,382.6
3/17/2020 0:00,367.1
3/18/2020 0:00,392.3
3/19/2020 0:00,402.8
3/20/2020 0:00,403.7
3/21/2020 0:00,403.8
3/22/2020 0:00,376.6
3/23/2020 0:00,377.2
3/24/2020 0:00,381.2
3/25/2020 0:00,378.2
3/26/2020 0:00,383.2
3/27/2020 0:00,383.1
3/28/2020 0:00,387.1
3/29/2020 0:00,388.4
3/30/2020 0:00,395.1
3/31/2020 0:00,400.2
4/1/2020 0:00,397.7
4/2/2020 0:00,387.1
4/3/2020 0:00,389
4/4/2020 0:00,378.3
4/5/2020 0:00,435
4/13/2020 0:00,443
4/14/2020 0:00,441.4
4/15/2020 0:00,443
4/16/2020 0:00,439.5
4/17/2020 0:00,442.2
4/18/2020 0:00,429.6
4/19/2020 0:00,408.3
4/20/2020 0:00,421.6
4/21/2020 0:00,424.1
4/22/2020 0:00,414.1
4/23/2020 0:00,400
4/24/2020 0:00,389.6
4/25/2020 0:00,381.5
4/26/2020 0:00,500.4
4/27/2020 0:00,495.4
4/28/2020 0:00,492.8
4/29/2020 0:00,494.2
4/30/2020 0:00,485.7
5/1/2020 0:00,472.7
5/2/2020 0:00,461.6
5/3/2020 0:00,414.1
5/4/2020 0:00,416.5
5/5/2020 0:00,421.3
5/13/2020 0:00,431.5
5/14/2020 0:00,427.2
5/15/2020 0:00,428.6
5/16/2020 0:00,432.1
5/17/2020 0:00,459.1
5/18/2020 0:00,464.5
5/19/2020 0:00,464.8
5/20/2020 0:00,463.7
5/21/2020 0:00,452.7
5/22/2020 0:00,449.6
5/23/2020 0:00,428.1
6/1/2020 0:00,437.4
6/2/2020 0:00,439.8
6/3/2020 0:00,445.8
6/4/2020 0:00,449.6
6/5/2020 0:00,441.9
7/1/2020 0:00,434.6
7/2/2020 0:00,421.6
7/3/2020 0:00,369.2
7/4/2020 0:00,395.5
7/5/2020 0:00,395.5
8/1/2020 0:00,399.6
8/2/2020 0:00,397.8
8/3/2020 0:00,390.6
8/4/2020 0:00,381.2
8/5/2020 0:00,476.6
9/1/2020 0:00,490.8
9/2/2020 0:00,490.1
9/3/2020 0:00,491.6
9/4/2020 0:00,486.1
9/5/2020 0:00,486.1
10/1/2020 0:00,471.5
10/2/2020 0:00,376.7
10/3/2020 0:00,380.3
10/4/2020 0:00,387
10/5/2020 0:00,392.8
11/1/2020 0:00,386.3
11/2/2020 0:00,382.6
11/3/2020 0:00,367.1
11/4/2020 0:00,477.1
11/5/2020 0:00,485.9
12/1/2020 0:00,494.1
12/2/2020 0:00,492.8
12/3/2020 0:00,472.8
12/4/2020 0:00,475.3
12/5/2020 0:00,470.5
